#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome","NZ_CP013992.1",128,466,"+",,,"AWN65_RS00005","WP_060381277.1",112,"hypothetical protein"
"chromosome","NZ_CP013992.1",743,1843,"-",,"dprA","AWN65_RS00010","WP_060381278.1",366,"MULTISPECIES: DNA-processing protein DprA"
"chromosome","NZ_CP013992.1",2040,2996,"+",,,"AWN65_RS00015","WP_060381279.1",318,"MULTISPECIES: SPOR domain-containing protein"
"chromosome","NZ_CP013992.1",3079,3591,"+",,,"AWN65_RS00020","WP_014165800.1",170,"MULTISPECIES: acyl-CoA thioesterase"
"chromosome","NZ_CP013992.1",3801,5744,"-",,,"AWN65_RS00025","WP_081078361.1",647,"prolyl oligopeptidase family serine peptidase"
"chromosome","NZ_CP013992.1",5781,6680,"-",,,"AWN65_RS00030","WP_060381280.1",299,"MULTISPECIES: EamA family transporter"
"chromosome","NZ_CP013992.1",6680,7510,"-",,,"AWN65_RS00035","WP_060381281.1",276,"MULTISPECIES: NAD(P)-dependent oxidoreductase"
"chromosome","NZ_CP013992.1",7514,7861,"-",,,"AWN65_RS00040","WP_014165796.1",115,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP013992.1",8065,9036,"-",,,"AWN65_RS00045","WP_060381282.1",323,"hypothetical protein"
"chromosome","NZ_CP013992.1",9371,9703,"+",,"ssb","AWN65_RS00050","WP_060381283.1",110,"MULTISPECIES: single-stranded DNA-binding protein"
"chromosome","NZ_CP013992.1",9898,11604,"-",,,"AWN65_RS00055","WP_060381284.1",568,"MULTISPECIES: AraC family transcriptional regulator"
"chromosome","NZ_CP013992.1",11886,12359,"+",,,"AWN65_RS00060","WP_060381285.1",157,"hypothetical protein"
"chromosome","NZ_CP013992.1",14002,14652,"+",,,"AWN65_RS00070","WP_060381287.1",216,"ATP-binding cassette domain-containing protein"
"chromosome","NZ_CP013992.1",14649,14993,"+",,,"AWN65_RS00075","WP_060381288.1",114,"MULTISPECIES: biotin/lipoyl-binding protein"
"chromosome","NZ_CP013992.1",15235,16605,"+",,,"AWN65_RS00080","WP_060381289.1",456,"MULTISPECIES: rhodanese-related sulfurtransferase"
"chromosome","NZ_CP013992.1",16669,17910,"+",,,"AWN65_RS00085","WP_060381290.1",413,"MULTISPECIES: U32 family peptidase"
"chromosome","NZ_CP013992.1",17910,18140,"+",,,"AWN65_RS00090","WP_060381291.1",76,"MULTISPECIES: ferredoxin"
"chromosome","NZ_CP013992.1",18302,19813,"+",,,"AWN65_RS00095","WP_060381292.1",503,"hypothetical protein"
"chromosome","NZ_CP013992.1",19788,20291,"+",,,"AWN65_RS00100","WP_060381293.1",167,"MULTISPECIES: gliding motility lipoprotein GldH"
"chromosome","NZ_CP013992.1",20294,22624,"+",,,"AWN65_RS00105","WP_060381294.1",776,"MULTISPECIES: PBP1A family penicillin-binding protein"
"chromosome","NZ_CP013992.1",22633,23331,"+",,,"AWN65_RS00110","WP_060381295.1",232,"MULTISPECIES: CoA transferase subunit A"
"chromosome","NZ_CP013992.1",23363,23716,"+",,,"AWN65_RS00115","WP_060381296.1",117,"MULTISPECIES: four helix bundle protein"
"chromosome","NZ_CP013992.1",23755,24411,"+",,,"AWN65_RS00120","WP_060381297.1",218,"MULTISPECIES: CoA transferase subunit B"
"chromosome","NZ_CP013992.1",24583,27291,"+",,,"AWN65_RS00125","WP_060381298.1",902,"MULTISPECIES: M4 family metallopeptidase"
"chromosome","NZ_CP013992.1",27373,28539,"+",,,"AWN65_RS00130","WP_060381299.1",388,"MULTISPECIES: class I SAM-dependent rRNA methyltransferase"
"chromosome","NZ_CP013992.1",28715,29926,"-",,,"AWN65_RS00135","WP_060381300.1",403,"MULTISPECIES: glycosyltransferase"
"chromosome","NZ_CP013992.1",30100,33189,"+",,,"AWN65_RS00140","WP_060381301.1",1029,"hypothetical protein"
"chromosome","NZ_CP013992.1",33186,34409,"+",,,"AWN65_RS00145","WP_060381302.1",407,"MULTISPECIES: Ig-like domain-containing protein"
"chromosome","NZ_CP013992.1",34393,35943,"+",,,"AWN65_RS00150","WP_060381303.1",516,"glycosyl hydrolase"
"chromosome","NZ_CP013992.1",36384,37112,"+",,,"AWN65_RS00155","WP_235588316.1",242,"transposase"
"chromosome","NZ_CP013992.1",37360,38541,"-",,,"AWN65_RS00160","WP_060381305.1",393,"MULTISPECIES: glycosyltransferase"
"chromosome","NZ_CP013992.1",38594,39871,"-",,,"AWN65_RS00165","WP_060381306.1",425,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP013992.1",39883,40185,"-",,,"AWN65_RS00170","WP_060381307.1",100,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP013992.1",40335,42404,"+",,,"AWN65_RS00175","WP_235588333.1",689,"hypothetical protein"
"chromosome","NZ_CP013992.1",42524,45100,"-",,,"AWN65_RS00180","WP_060381309.1",858,"MULTISPECIES: T9SS type A sorting domain-containing protein"
"chromosome","NZ_CP013992.1",45222,45941,"-",,,"AWN65_RS00185","WP_060381310.1",239,"MULTISPECIES: LytTR family DNA-binding domain-containing protein"
"chromosome","NZ_CP013992.1",45945,46265,"-",,,"AWN65_RS00190","WP_060381311.1",106,"MULTISPECIES: Hpt domain-containing protein"
"chromosome","NZ_CP013992.1",46252,47298,"-",,,"AWN65_RS00195","WP_060381312.1",348,"ATP-binding protein"
"chromosome","NZ_CP013992.1",47298,48431,"-",,,"AWN65_RS00200","WP_060381313.1",377,"MULTISPECIES: FIST C-terminal domain-containing protein"
"chromosome","NZ_CP013992.1",48428,50365,"-",,,"AWN65_RS00205","WP_060381314.1",645,"PAS domain S-box protein"
"chromosome","NZ_CP013992.1",50370,50912,"-",,,"AWN65_RS00210","WP_060383783.1",180,"MULTISPECIES: heme NO-binding domain-containing protein"
"chromosome","NZ_CP013992.1",50918,51331,"-",,,"AWN65_RS00215","WP_014165761.1",137,"MULTISPECIES: response regulator"
"chromosome","NZ_CP013992.1",51610,52293,"-",,,"AWN65_RS00220","WP_060383784.1",227,"HAD hydrolase-like protein"
"chromosome","NZ_CP013992.1",52349,52531,"-",,,"AWN65_RS15105","WP_060381315.1",60,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP013992.1",52540,53049,"-",,,"AWN65_RS00230","WP_060381316.1",169,"MULTISPECIES: ferritin"
"chromosome","NZ_CP013992.1",53430,55505,"-",,"metG","AWN65_RS00235","WP_060381317.1",691,"methionine--tRNA ligase"
"chromosome","NZ_CP013992.1",56200,57102,"+",,,"AWN65_RS00240","WP_235588334.1",300,"MULTISPECIES: LD-carboxypeptidase"
"chromosome","NZ_CP013992.1",57139,57498,"+",,,"AWN65_RS00245","WP_060383785.1",119,"MULTISPECIES: YraN family protein"
